objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,NUMBER,X_WORLD,Y_WORLD,X_IMAGE,Y_IMAGE,MAG_ISO,MAGERR_ISO,MAG_ISOCOR,MAGERR_ISOCOR,MAG_APER,MAGERR_APER,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,ISOAREA_IMAGE,THETA_IMAGE,ELONGATION,CLASS_STAR,Separation
1237648721229250669,756,301,3,406,109,6,176.66288285234432,-0.16935216697960268,17.230215,14.930445,13.893341,13.57821,13.257121,0.008776055,0.004333534,0.0049530277,0.002051604,0.0052689435,206,176.6629500326567,-0.16933158537565388,1420.4484,1246.6757,-17.8722,6.036959E-4,-17.883953,6.31927E-4,-17.620348,4.458692E-4,-17.865032,5.7958806E-4,-17.865032,5.7958806E-4,3891,-86.326225,1.004321,0.84351176,0.25294342347160426
1237648721229250753,756,301,3,406,193,3,176.67252257912043,-0.1795637380790606,19.950205,18.601704,17.85502,17.45449,17.205166,0.063592926,0.010870122,0.0083752815,0.008714436,0.030307295,199,176.6725075272843,-0.17957561460023538,1285.4298,1099.9968,-14.954781,0.0040401886,-15.018262,0.004570161,-14.862171,0.0038692818,-15.010309,0.005197157,-15.010309,0.005197157,980,-54.37172,1.5453076,0.027778357,0.0690231165426878
1237648721229250732,756,301,3,406,172,3,176.634434537421,-0.18045206428928734,18.71311,17.719933,17.189434,16.856749,16.71502,0.02224305,0.0057624355,0.00520022,0.0054932325,0.01559778,196,176.63442973362172,-0.18054351486519551,1827.3435,1089.8596,-15.68967,0.0023866617,-15.725324,0.0026031027,-15.577084,0.0020921133,-15.704275,0.0028175788,-15.704275,0.0028175788,1301,-19.683823,1.086852,0.028606609,0.3296759649090949
1237648721229316104,756,301,3,407,8,6,176.7047706317764,-0.20413564333816567,18.235912,16.621967,16.053627,15.852348,15.751606,0.011846731,0.004294039,0.0039522103,0.004517068,0.0064235134,132,176.70475047400504,-0.20409751444148122,828.9768,747.9857,-16.447916,0.001295994,-16.46424,0.0013690774,-16.3908,0.0010795326,-16.437668,0.0012463024,-16.437668,0.0012463024,1365,39.689964,1.0535744,0.665228,0.15526576519120275
1237674649927221380,6793,301,3,107,132,6,176.6444140338638,-0.22599033047750292,19.96325,18.07217,17.175829,16.8664,16.721252,0.046601474,0.006420508,0.0054453784,0.0055115134,0.009690464,80,176.64441046924435,-0.22596090983387726,1689.6604,442.6447,-15.634348,0.0020169497,-15.654332,0.0021450378,-15.631387,0.0019990187,-15.634356,0.002024961,-15.634356,0.002024961,772,88.27696,1.050468,0.043676216,0.1066888765946645
1237674649927221408,6793,301,3,107,160,3,176.66433433022942,-0.22752866448304362,19.228943,17.957457,17.340029,17.00075,16.82505,0.050011564,0.0075354357,0.006464803,0.0064739618,0.018048342,68,176.66430383789998,-0.22749358513568227,1406.7383,418.9364,-15.464515,0.0028594243,-15.50955,0.003160422,-15.340429,0.002557517,-15.5313225,0.003488396,-15.5313225,0.003488396,1254,40.104843,1.34464,0.028479578,0.16732558757974528
1237674649927221418,6793,301,3,107,170,3,176.68360548695628,-0.22612230569253153,19.810265,18.258411,17.346313,16.902767,16.551205,0.06949937,0.00836852,0.005940348,0.005558072,0.012740328,79,176.68358962753376,-0.2260579625905197,1132.1781,437.52283,-15.6641865,0.0025783877,-15.707668,0.002843764,-15.489148,0.002253318,-15.699784,0.0029126545,-15.699784,0.0029126545,1462,-12.727424,1.6896065,0.02865461,0.23856763353678634
1237648721229250661,756,301,3,406,101,6,176.6528993860813,-0.1365904639088439,17.949419,16.007233,15.30983,15.049823,14.957673,0.010449687,0.003947841,0.0037422564,0.0041867667,0.0053583183,216,176.65294198141396,-0.13657455101744,1559.7288,1713.7441,-17.009571,9.357194E-4,-17.022898,9.826937E-4,-16.924282,7.2171754E-4,-16.996572,8.888924E-4,-16.996572,8.888924E-4,1960,66.24993,1.1131023,0.8062407,0.16369402952705026
1237648721229250664,756,301,3,406,104,6,176.6615397770559,-0.13351888756253927,18.284878,16.93003,16.50212,16.324915,16.28967,0.012262529,0.004394745,0.0042156,0.004742688,0.007903685,340,176.66153719652465,-0.13349424811584512,1437.1302,1756.7543,-16.12373,0.0014587258,-16.138597,0.0015366715,-16.106665,0.0013523239,-16.12078,0.0014371504,-16.12078,0.0014371504,961,-81.40619,1.0547656,0.24208984,0.08918715292646923
1237648721229316122,756,301,3,407,26,6,176.71407294679753,-0.20078386159568543,17.682074,15.829021,15.154314,14.88923,14.744038,0.00920386,0.0039876373,0.0036863384,0.0042243935,0.004949567,135,176.7140893551968,-0.20077535511093741,695.7736,794.3659,-17.047384,9.086902E-4,-17.060236,9.533787E-4,-16.961351,7.0252054E-4,-17.03704,8.5966557E-4,-17.03704,8.5966557E-4,1987,86.037224,1.0492783,0.82599944,0.06653600045975247
1237648721229316274,756,301,3,407,178,3,176.72933699116024,-0.17991726296260302,19.469954,18.348593,17.812382,17.498325,17.309052,0.04921723,0.012679418,0.011449716,0.011379671,0.034631774,200,176.72945120325974,-0.1798033727955941,475.1815,1091.317,-14.880292,0.0047955285,-14.978859,0.0056214235,-14.683422,0.0045290836,-14.956735,0.0061075985,-14.956735,0.0061075985,1261,23.031355,1.3431271,0.014937037,0.580652717829458
1237674649927286796,6793,301,3,108,12,6,176.7278384725749,-0.21734194714550623,17.649818,15.982853,15.321948,15.08259,14.959722,0.0118864495,0.0039810752,0.0042153387,0.0044382736,0.005277394,162,176.72786556993125,-0.21738092024223624,501.33398,556.76263,-17.099451,0.0011394162,-17.126665,0.0012266716,99.0,99.0,99.0,99.0,99.0,99.0,3640,64.60598,1.9654758,0.7969067,0.1708828053757495
