Zero-point magnitude (aper),zp_quadr_err,2MASS-CDS name,2MASS RA,2MASS Dec,2MASS RA (deg),2MASS Dec (deg),2MASS Jmag_stan,2MASS Jmag_stan_err,2MASS Jmag_aper,2MASS Jmag_aper_err,2MASS stan-aper,Sextractor cat #,Sextractor RA,Sextractor Dec,instrumental Jmag (ISOCOR),instrumental Jmag_err (ISOCOR),instrumental Jmag (APER),instrumental Jmag_err (APER),instrumental Jmag (AUTO),instrumental Jmag_err (AUTO),instrumental APER-AUTO,instrumental Jmag (BEST),instrumental Jmag_err (BEST),Notes
-28.855658,0.2190464698,2MASS J11463788-0009367,11:46:37.89,-00:09:36.71,176.657868,-0.160198,16.934,0.149,17.366,0.219,-0.432,36,176.65775974,-0.1602854412,-11.4889145,0.0037402462,-11.489658,0.0045117564,-11.459552,0.0036277361,-0.030106,-11.459552,0.0036277361,near the edge
-27.717314,0.0140058642,2MASS J11463909-0010096,11:46:39.09,-00:10:09.68,176.662885,-0.169356,12.051,0.021,12.043,0.014,0.008,266,176.662879309,-0.1693802576,-15.694653,0.0004169245,-15.674314,0.0004052563,-15.665636,0.0004051057,-0.008678,-15.665636,0.0004051057,may be saturated
-28.017325,0.0270217395,2MASS J11464670-0010555,11:46:46.71,-00:10:55.50,176.694603,-0.182084,14.411,0.031,14.343,0.027,0.068,93,176.6944920665,-0.1821890432,-13.679938,0.0010840568,-13.674325,0.001083701,-13.661195,0.001049477,-0.01313,-13.661195,0.001049477,
-28.180776,0.2220214186,2MASS J11464143-0010451,11:46:41.44,-00:10:45.14,176.672657,-0.179206,17.005,0.199,16.166,0.222,0.839,86,176.6724518552,-0.1795682407,-12.085956,0.0031776428,-12.014776,0.0030838794,-12.070244,0.0033246833,0.055468,-12.070244,0.0033246833,extended
-28.084102,0.0860265844,2MASS J11463223-0010497,11:46:32.24,-00:10:49.76,176.634332,-0.180488,16.273,0.117,15.522,0.086,0.751,89,176.6343102115,-0.1806437258,-12.670205,0.002326095,-12.562102,0.0021385103,-12.66457,0.0024211614,0.102468,-12.66457,0.0024211614,"may be saturated, in the 2MASS extended catalogue"
-27.923882,0.2200468267,2MASS J11463241-0011073,11:46:32.42,-00:11:07.34,176.635074,-0.185371,16.558,0.124,16.442,0.22,0.116,104,176.6348944487,-0.1854998694,-11.476177,0.00366373,-11.481882,0.0045393747,-11.458489,0.0035855446,-0.023393,-11.458489,0.0035855446,
-27.90947,0.3310334936,2MASS J11463606-0011310,11:46:36.07,-00:11:31.01,176.650279,-0.191946,16.523,0.103,16.476,0.331,0.047,122,176.6503009668,-0.1919005723,-11.422787,0.0037724967,-11.43347,0.0047089136,-11.405346,0.0036706093,-0.028124,-11.405346,0.0036706093,
-27.814318,0.3120374241,2MASS J11464399-0012106,11:46:44.00,-00:12:10.70,176.683317,-0.202972,17.012,0.169,16.415,0.312,0.597,171,176.6833515436,-0.2029105239,-11.424247,0.0049262308,-11.399318,0.004832599,-11.4099865,0.005006999,0.0106685,-11.4099865,0.005006999,extended
-27.979127,0.0400250699,2MASS J11463528-0012014,11:46:35.28,-00:12:01.44,176.647007,-0.200401,14.767,0.032,14.74,0.04,0.027,166,176.6469474036,-0.2003850572,-13.239853,0.0013881206,-13.239127,0.0014164102,-13.21691,0.0013242866,-0.022217,-13.21691,0.0013242866,
-27.6110845,0.081136805,2MASS J11463058-0011467,11:46:30.59,-00:11:46.75,176.627455,-0.196319,16.436,0.103,16.178,0.081,0.258,143,176.6273204338,-0.1961381827,-11.41947,0.0038145953,-11.4330845,0.0047096848,-11.397085,0.0037158974,-0.0359995,-11.397085,0.0037158974,near the edge
-28.183305,0.0660259552,2MASS J11464405-0013340,11:46:44.06,-00:13.34.06,176.683576,-0.226127,16.037,0.102,15.392,0.066,0.645,24,176.6836025486,-0.2261002722,-12.900417,0.0019594973,-12.791305,0.0018511501,-12.888906,0.001959875,0.097601,-12.888906,0.001959875,extended
-28.403487,0.1380236377,2MASS J11463944-0013389,11:46:39.44,-00:13:38.99,176.664341,-0.227498,16.819,0.156,16.113,0.138,0.706,1,176.6643117854,-0.2275717017,-12.354375,0.0027041328,-12.290487,0.0025543224,-12.35919,0.0028209095,0.068703,-12.35919,0.0028209095,extended
-27.248203,0.110193814,2MASS J11463916-0013352,11:46:39.17,-00:13:35.25,176.663196,-0.226459,16.457,0.123,16.236,0.11,0.221,253,176.6631476771,-0.2264938548,-10.9687805,0.0048379735,-11.012203,0.0065327366,-10.975367,0.0049988483,-0.036836,-10.9687805,0.0048379735,
-28.020407,0.1280228888,2MASS J11463465-0013335,11:46:34.66,-00:13:33.60,176.644398,-0.225999,15.736,0.057,15.649,0.128,0.087,250,176.6443931097,-0.2260448834,-12.365355,0.0022020142,-12.371407,0.002420753,-12.347965,0.0021111707,-0.023442,-12.347965,0.0021111707,
-27.951898,0.2220273451,2MASS J11463042-0013574,11:46:30.43,-00:13:57.46,176.626777,-0.232627,16.763,0.156,16.11,0.222,0.653,3,176.6268590402,-0.2326676641,-11.976633,0.0037950876,-11.841898,0.0034845346,-11.925505,0.0037993891,0.083607,-11.925505,0.0037993891,"near the edge, extended"
