Zero-point magnitude (best),zp_quadr_err (best),Zero-point magnitude (aper8),zp_quadr_err (aper8),Zero-point magnitude (aper3),zp_quadr_err (aper3),Zero-point magnitude (psf),zp_quadr_err (psf),SDSS name,SDSS RA,SDSS Dec,SDSS RA (deg),SDSS Dec (deg),SDSS Imag_model,SDSS Imag_model_err,SDSS Imag_psf,SDSS Imag_psf_err,SDSS Imag_fiber,SDSS Imag_fiber_err,Sextractor cat #,Sextractor RA,Sextractor Dec,instrumental Imag (ISOCOR),instrumental Imag_err (ISOCOR),instrumental Imag (APER8),instrumental Imag_err (APER8),instrumental Imag (APER3),instrumental Imag_err (APER3),instrumrntal Imag (AUTO),instrumental Imag_err (AUTO),instrumental APER-AUTO,instrumental APER-AUTO_err,instrumental Imag (BEST),instrumental Imag_err (BEST),CLASS_STAR,Notes
-32.612346,0.0103185646,-32.628484,0.0103622736,-32.736956,0.0118983481,-32.636124,0.0176876585,SDSS J103303.97+590837.0,,,158.26654844,59.1436154,18.306875,0.010111418,18.314455,0.017557725,18.661825,0.011745598,470,158.266525282,59.143581588,-14.321669,0.0021399895,-14.321609,0.0022662613,-14.075131,0.0019004247,-14.305471,0.002057183,-0.016138,0.0030607094,-14.305471,0.002057183,0.9815488,
-32.671375,0.0045854055,-32.679597,0.0045869819,-32.770795,0.0038141728,-32.697349,0.0155663714,SDSS J103240.95+590917.3,,,158.17064211,59.15483296,16.614061,0.0045221224,16.61662,0.015545558,16.968664,0.003729662,527,158.1704925078,59.1548633499,-16.080729,0.0008047019,-16.065536,0.0007686428,-15.802131,0.0007984584,-16.057314,0.0007591786,-0.008222,0.0010803536,-16.057314,0.0007591786,0.99695295,
-31.751034,0.0031465992,-31.693277,0.0031465538,-31.153675,0.0011705129,-31.769812,0.0152748484,SDSS J103243.20+591031.9,,,158.18002151,59.17555359,14.172287,0.0031253002,14.167542,0.015270028,14.525459,0.0010384852,746,158.179887359,59.1756165885,-17.60227,0.0003837151,-17.52099,0.000365102,-16.628216,0.0005400453,-17.578747,0.0003654927,0.057757,0.0005166086,-17.578747,0.0003654927,0.73792,
-32.607704,0.0043725023,-32.614811,0.0043735736,-32.690446,0.0028669953,-32.618986,0.0154882314,SDSS J103245.96+591005.0,,,158.19151018,59.16807844,16.438614,0.0043132617,16.427473,0.015469708,16.789389,0.0027639805,797,158.1914498793,59.1681054913,-16.191513,0.0007572621,-16.176197,0.0007238226,-15.901057,0.0007616257,-16.16909,0.0007173216,-0.007107,0.0010190532,-16.16909,0.0007173216,0.998668,
-32.685428,0.0048162034,-32.695653,0.0048186627,-32.794042,0.0034165952,-32.704842,0.0155920523,SDSS J103242.62+590959.2,,,158.17760035,59.16644777,16.753208,0.00474794,16.749949,0.015568508,17.106462,0.0033108145,809,158.177545915,59.1664604093,-15.954893,0.0008565352,-15.942445,0.0008225425,-15.68758,0.0008435816,-15.93222,0.0008080106,-0.010225,0.0011530209,-15.93222,0.0008080106,0.9983261,
-32.735141,0.0069212622,-32.748111,0.006932506,-32.857393,0.007176998,-32.774445,0.0151087621,SDSS J103321.13+590741.2,,,158.33804498,59.12813417,17.60917,0.0068061072,17.628448,0.015049581,17.966812,0.007067978,378,158.3380655997,59.128129869,-15.145997,0.001335965,-15.138941,0.00131778,-14.890581,0.0012461891,-15.125971,0.0012572891,-0.01297,0.0018213511,-15.125971,0.0012572891,0.9795613,
-32.145815,0.0033424259,-32.137477,0.0033420611,-32.036655,0.0018038412,-32.18595,0.0153226486,SDSS J103234.97+590844.5,,,158.14571693,59.14571651,15.166857,0.0033075346,15.18973,0.015314552,15.529888,0.0017108344,457,158.1454551107,59.1456855415,-16.99622,0.0004980536,-16.97062,0.0004791526,-16.506767,0.0005717418,-16.978958,0.0004816905,0.008338,0.0006794211,-16.978958,0.0004816905,0.95576537,
-32.657397,0.005516333,-32.601408,0.0055047179,-32.899486,0.0062881148,-33.538785,0.0162429638,SDSS J103235.32+590832.6,,,158.14717259,59.14239523,16.767244,0.0054349247,17.605686,0.01621283,17.754837,0.0061914334,434,158.1470087264,59.1424219728,-15.933099,0.0009889475,-15.834164,0.000873792,-15.144649,0.0010984265,-15.890153,0.0009442052,0.055989,0.001286482,-15.890153,0.0009442052,0.028071415,
-31.6577345,0.0099642216,-31.3955275,0.0099647988,-30.315753,0.0008919017,-31.50865,0.0006564286,SDSS J103316.31+590532.5,,,158.31797705,59.09238701,13.2747965,0.009961041,13.108378,0.0006023114,13.710086,0.0007054056,25,158.3178736813,59.092233514,-18.400272,0.000260997,-18.120731,0.0002736379,-16.605667,0.0005457944,-18.382938,0.0002517412,0.262207,0.0003718216,-18.382938,0.0002517412,0.84176457,
-32.647019,0.0116158322,-32.663281,0.0116699806,-32.757955,0.011146245,-32.661337,0.0172007464,SDSS J103324.00+591154.4,,,158.35002932,59.1984454,18.52307,0.011381042,18.518105,0.017028464,18.863361,0.01094735,913,158.3502675605,59.1985794024,-14.143232,0.0024283929,-14.140211,0.0025807617,-13.894594,0.0020962597,-14.123949,0.0023236698,-0.016262,0.0034727183,-14.123949,0.0023236698,0.97377574,
-32.089051,0.0033584127,-32.077857,0.0033580477,-31.943664,0.0016927773,-32.122709,0.0140794934,SDSS J103312.47+591246.1,,,158.30198341,59.21283226,15.054929,0.0033254519,15.071888,0.014071123,15.406921,0.0015961436,581,158.3021353013,59.2129400275,-17.050821,0.0004854182,-17.022928,0.0004667486,-16.536743,0.0005637558,-17.034122,0.0004693671,0.011194,0.0006619364,-17.034122,0.0004693671,0.93860924,
