Zero-point magnitude (aper),zp_quadr_err,2MASS-CDS name,2MASS RA,2MASS Dec,2MASS RA (deg),2MASS Dec (deg),2MASS Hmag_stan,2MASS Hmag_stan_err,2MASS Hmag_aper,2MASS Hmag_aper_err,2MASS stan-aper,2MASS stan-aper_err,Sextractor cat #,Sextractor RA,Sextractor Dec,instrumental Hmag (ISOCOR),instrumental Hmag_err (ISOCOR),instrumental Hmag (APER),instrumental Hmag_err (APER),instrumrntal Hmag (AUTO),instrumental Hmag_err (AUTO),instrumental APER-AUTO,instrumental APER-AUTO_err,instrumental Hmag (BEST),instrumental Hmag_err (BEST),CLASS_STAR,Notes
-26.017794,0.3193286288,2MASS J13371480+3210563,13 37 14.801,+32 10 56.32,204.31167,32.182312,15.752,0.147,15.855,0.319,-0.103,0.3512406582,68,204.3117918326,32.1821308968,-10.486872,0.006089932,-10.162794,0.014483548,-10.458211,0.006396494,0.295417,0.0158331392,-10.458211,0.006396494,0.9821712,near the edge
-27.211903,0.3270926631,2MASS J13370808+3209519,13 37 08.082,+32 09 51.98,204.283677,32.16444,15.826,0.163,16.05,0.327,-0.224,0.3653737812,226,204.2836359807,32.1644221062,-11.135578,0.005482294,-11.161903,0.0077852597,-11.121,0.0055512562,-0.040903,0.0095617317,-11.121,0.0055512562,0.9834798,
-27.315945,0.0080258297,2MASS J13371073+3208479,13 37 10.735,+32 08 47.98,204.294728,32.14666,12.485,0.021,12.51,0.008,-0.025,0.0224722051,102,204.2949388423,32.1466685779,-14.822274,0.0006747081,-14.805945,0.0006433833,-14.793175,0.000633461,-0.01277,0.0009028925,-14.793175,0.000633461,0.9997836,
-27.49417,0.4450375646,2MASS J13370242+3208323,13 37 02.422,+32 08 32.37,204.260092,32.142326,16.112,0.217,15.975,0.445,0.137,0.4950898908,123,204.2602446068,32.1421534569,-11.561132,0.005980234,-11.51917,0.005782207,-11.554209,0.006099177,0.035039,0.0084043963,-11.554209,0.006099177,0.037581917,
-27.483473,0.2350174318,2MASS J13371299+3207085,13 37 13.000,+32 07 08.52,204.304166,32.119034,15.076,0.089,15.067,0.235,0.009,0.2512886786,170,204.3042073334,32.1189621361,-12.413428,0.0025883073,-12.416473,0.002862386,-12.38392,0.002478817,-0.032553,0.0037865271,-12.38392,0.002478817,0.9839158,
-27.1841285,0.1390251814,2MASS J13370830+3207236,13 37 08.304,+32 07 23.61,204.284602,32.123226,14.809,0.07,14.661,0.139,0.148,0.1556309738,164,204.2845352651,32.1232585087,-12.516385,0.0023725836,-12.5231285,0.0026459498,-12.495114,0.0022308994,-0.0280145,0.0034609193,-12.495114,0.0022308994,0.98388475,
-27.384571,0.0790101107,2MASS J13370637+3207241,13 37 06.376,+32 07 24.12,204.276566,32.123367,13.804,0.037,13.765,0.079,0.039,0.087235314,160,204.2765735807,32.1234358749,-13.623961,0.0012657603,-13.619571,0.001263958,-13.59805,0.001174031,-0.021521,0.0017250909,-13.59805,0.001174031,0.9886147,
-27.4073,0.1640287963,2MASS J13370102+3207331,13 37 01.029,+32 07 33.15,204.254289,32.125874,15.164,0.089,15.086,0.164,0.078,0.1865931403,156,204.2543146928,32.1258673501,-12.312935,0.0026471105,-12.3213,0.0030734367,-12.294492,0.002525394,-0.026808,0.0039778924,-12.294492,0.002525394,0.98380905,
-29.803114,3.2850054629,2MASS J13365894+3207117,13 36 58.944,+32 07 11.79,204.2456,32.119942,16.369,0.271,18.327,3.285,-1.958,3.2961592801,166,204.2454981756,32.120138585,-11.483568,0.005785792,-11.476114,0.0059909583,-11.470505,0.005849669,-0.005609,0.0083731839,-11.470505,0.005849669,0.032149892,
